,Real,Prediccion
315,"$18,642.23","$17,721.48"
316,"$18,370.00","$18,058.21"
317,"$18,364.12","$18,309.18"
318,"$19,107.46","$18,499.82"
319,"$18,732.12","$18,737.38"
320,"$17,150.62","$18,899.85"
321,"$17,108.40","$18,799.02"
322,"$17,717.41","$18,606.76"
323,"$18,177.48","$18,468.27"
324,"$19,625.84","$18,415.83"
325,"$18,803.00","$18,588.21"
326,"$19,201.09","$18,721.96"
327,"$19,445.40","$18,908.10"
328,"$18,699.77","$19,118.53"
329,"$19,154.23","$19,207.38"
330,"$19,345.12","$19,316.97"
331,"$19,191.63","$19,445.25"
332,"$18,321.14","$19,528.03"
333,"$18,553.92","$19,459.72"
334,"$18,264.99","$19,376.18"
335,"$18,058.90","$19,234.80"
336,"$18,803.66","$19,081.71"
337,"$19,142.38","$19,030.54"
338,"$19,246.64","$19,063.11"
339,"$19,417.08","$19,153.89"
340,"$21,310.60","$19,276.29"
341,"$22,805.16","$19,655.05"
342,"$23,137.96","$20,280.10"
343,"$23,869.83","$20,985.34"
344,"$23,477.29","$21,743.37"
345,"$22,803.08","$22,377.65"
346,"$23,783.03","$22,797.73"
347,"$23,241.35","$23,202.55"
348,"$23,735.95","$23,446.42"
349,"$24,664.79","$23,668.49"
350,"$26,437.04","$23,961.70"
351,"$26,272.29","$24,461.89"
352,"$27,084.81","$24,944.22"
353,"$27,362.44","$25,504.83"
354,"$28,840.95","$26,053.74"
355,"$29,001.72","$26,749.67"
356,"$29,374.15","$27,419.47"
357,"$32,127.27","$28,040.42"
358,"$32,782.02","$28,962.02"
359,"$31,971.91","$29,923.65"
360,"$33,992.43","$30,666.14"
361,"$36,824.36","$31,534.83"
362,"$39,371.04","$32,721.37"
363,"$40,797.61","$34,208.68"
364,"$40,254.55","$35,815.68"
365,"$38,356.44","$37,164.97"
366,"$35,566.66","$37,975.93"
367,"$33,922.96","$38,063.62"
368,"$37,316.36","$37,610.80"
369,"$39,187.33","$37,510.09"
370,"$36,825.37","$37,725.20"
371,"$36,178.14","$37,638.25"
372,"$35,791.28","$37,425.94"
373,"$36,630.07","$37,136.47"
374,"$36,069.80","$36,990.70"
375,"$35,547.75","$36,826.08"
376,"$30,825.70","$36,630.56"
377,"$33,005.76","$35,754.00"
378,"$32,067.64","$35,143.32"
379,"$32,289.38","$34,437.19"
380,"$32,366.39","$33,861.24"
381,"$32,569.85","$33,444.81"
382,"$30,432.55","$33,174.67"
383,"$33,466.10","$32,688.17"
384,"$34,316.39","$32,673.80"
385,"$34,269.52","$32,907.95"
386,"$33,114.36","$33,223.86"
387,"$33,537.18","$33,413.92"
388,"$35,510.29","$33,574.61"
389,"$37,472.09","$33,993.95"
390,"$36,926.07","$34,703.70"
391,"$38,144.31","$35,334.05"
392,"$39,266.01","$36,069.75"
393,"$38,903.44","$36,905.84"
394,"$46,196.46","$37,563.74"
395,"$46,481.11","$39,208.61"
396,"$44,918.18","$40,902.27"
397,"$47,909.33","$42,218.04"
398,"$47,504.85","$43,715.54"
399,"$47,105.52","$44,901.24"
400,"$48,717.29","$45,761.25"
401,"$47,945.06","$46,637.21"
402,"$49,199.87","$47,193.71"
403,"$52,149.01","$47,769.40"
404,"$51,679.80","$48,692.11"
405,"$55,888.13","$49,426.11"
406,"$56,099.52","$50,747.28"
407,"$57,539.95","$52,024.69"
408,"$54,207.32","$53,358.58"
409,"$48,824.43","$53,954.58"
410,"$49,705.33","$53,415.64"
411,"$47,093.85","$52,778.28"
412,"$46,339.76","$51,649.44"
413,"$46,188.45","$50,421.70"
414,"$45,137.77","$49,277.41"
415,"$49,631.24","$48,159.25"
416,"$48,378.99","$47,942.99"
417,"$50,538.24","$47,793.40"
418,"$48,561.17","$48,147.32"
419,"$48,927.30","$48,307.94"
420,"$48,912.38","$48,536.74"
421,"$51,206.69","$48,702.15"
422,"$52,246.52","$49,202.09"
423,"$54,824.12","$49,844.72"
424,"$56,008.55","$50,857.34"
425,"$57,805.12","$52,002.43"
426,"$57,332.09","$53,302.55"
427,"$61,243.09","$54,388.33"
428,"$59,302.32","$55,901.15"
429,"$55,907.20","$56,915.56"
430,"$56,804.90","$57,116.45"
431,"$58,870.89","$57,211.91"
432,"$57,858.92","$57,488.27"
433,"$58,346.65","$57,541.66"
434,"$58,313.64","$57,630.75"
435,"$57,523.42","$57,692.85"
436,"$54,529.14","$57,609.43"
437,"$54,738.95","$57,023.05"
438,"$52,774.27","$56,449.10"
439,"$51,704.16","$55,610.41"
440,"$55,137.31","$54,678.26"
441,"$55,973.51","$54,397.95"
442,"$55,950.75","$54,409.22"
443,"$57,750.20","$54,562.11"
444,"$58,917.69","$55,072.22"
445,"$58,918.83","$55,798.29"
446,"$59,095.81","$56,499.40"
447,"$59,384.31","$57,147.91"
448,"$57,603.89","$57,711.32"
449,"$58,758.55","$57,855.38"
450,"$59,057.88","$58,058.77"
451,"$58,192.36","$58,213.90"
452,"$56,048.94","$58,185.74"
453,"$58,323.95","$57,769.61"
454,"$58,245.00","$57,701.17"
455,"$59,793.23","$57,652.36"
456,"$60,204.96","$57,906.68"
457,"$59,893.45","$58,260.44"
458,"$63,503.46","$58,560.50"
459,"$63,109.70","$59,427.90"
460,"$63,314.01","$60,179.13"
461,"$61,572.79","$60,873.88"
462,"$60,683.82","$61,150.36"
463,"$56,216.18","$61,139.98"
464,"$55,724.27","$60,257.93"
465,"$56,473.03","$59,239.86"
466,"$53,906.09","$58,381.43"
467,"$51,762.27","$57,231.82"
468,"$51,093.65","$55,884.53"
469,"$50,050.87","$54,586.12"
470,"$49,004.25","$53,335.41"
471,"$54,021.75","$52,142.41"
472,"$55,033.12","$51,994.93"
473,"$54,824.70","$52,270.72"
474,"$53,555.11","$52,698.45"
475,"$57,750.18","$52,950.89"
476,"$57,828.05","$53,838.29"
477,"$56,631.08","$54,723.14"
478,"$57,200.29","$55,324.59"
479,"$53,333.54","$55,862.25"
480,"$57,424.01","$55,617.49"
481,"$56,396.52","$55,902.81"
482,"$57,356.40","$55,955.97"
483,"$58,803.78","$56,159.02"
484,"$58,232.32","$56,594.21"
485,"$55,859.80","$56,924.76"
486,"$56,704.57","$56,798.03"
487,"$49,150.54","$56,752.72"
488,"$49,716.19","$55,438.21"
489,"$49,880.54","$54,180.46"
490,"$46,760.19","$53,036.07"
491,"$46,456.06","$51,536.60"
492,"$43,537.51","$50,188.79"
493,"$42,909.40","$48,591.64"
494,"$37,002.44","$47,115.44"
495,"$40,782.74","$44,962.31"
496,"$37,304.69","$43,620.08"
497,"$37,536.63","$42,049.47"
498,"$34,770.58","$40,822.33"
499,"$38,705.98","$39,407.08"
500,"$38,402.22","$38,796.63"
501,"$39,294.20","$38,443.12"
502,"$38,436.97","$38,427.82"
503,"$35,697.61","$38,438.09"
504,"$34,616.07","$38,076.25"
505,"$35,678.13","$37,550.02"
506,"$37,332.86","$37,123.82"
507,"$36,684.93","$37,038.20"
508,"$37,575.18","$36,946.54"
509,"$39,208.77","$37,055.93"
510,"$36,894.41","$37,419.20"
511,"$35,551.96","$37,488.29"
512,"$35,862.38","$37,302.31"
513,"$33,560.71","$37,110.49"
514,"$33,472.63","$36,575.04"
515,"$37,345.12","$35,996.90"
516,"$36,702.60","$36,014.68"
517,"$37,334.40","$36,070.67"
518,"$35,552.52","$36,307.55"
519,"$39,097.86","$36,305.39"
520,"$40,218.48","$36,795.73"
521,"$40,406.27","$37,518.25"
522,"$38,347.06","$38,271.68"
523,"$38,053.50","$38,627.76"
524,"$35,787.25","$38,801.73"
525,"$35,615.87","$38,494.76"
526,"$35,698.30","$38,022.88"
527,"$31,676.69","$37,553.46"
528,"$32,505.66","$36,515.31"
529,"$33,723.03","$35,620.72"
530,"$34,662.44","$34,983.60"
531,"$31,637.78","$34,663.51"
532,"$32,186.28","$34,073.60"
533,"$34,649.64","$33,645.65"
534,"$34,434.34","$33,661.72"
535,"$35,867.78","$33,789.82"
536,"$35,040.84","$34,185.48"
537,"$33,572.12","$34,493.36"
538,"$33,897.05","$34,573.52"
539,"$34,668.55","$34,593.58"
540,"$35,287.78","$34,668.95"
541,"$33,746.00","$34,828.04"
542,"$34,235.20","$34,787.20"
543,"$33,855.33","$34,761.25"
544,"$32,877.37","$34,646.80"
545,"$33,798.01","$34,392.81"
546,"$33,520.52","$34,260.41"
547,"$34,240.19","$34,136.34"
548,"$33,155.85","$34,157.95"
549,"$32,702.03","$34,046.67"
550,"$32,822.35","$33,859.80"
551,"$31,780.73","$33,687.81"
552,"$31,421.54","$33,395.61"
553,"$31,533.07","$33,049.23"
554,"$31,796.81","$32,744.75"
555,"$30,817.83","$32,531.11"
556,"$29,807.35","$32,221.03"
557,"$32,110.69","$31,799.42"
558,"$32,313.11","$31,732.77"
559,"$33,581.55","$31,803.60"
560,"$34,292.45","$32,125.93"
561,"$35,350.19","$32,597.21"
562,"$37,337.54","$33,239.07"
563,"$39,406.94","$34,149.91"
564,"$39,995.91","$35,329.80"
565,"$40,008.42","$36,529.66"
566,"$42,235.55","$37,599.74"
567,"$41,626.20","$38,818.63"
568,"$39,974.89","$39,754.85"
569,"$39,201.95","$40,235.79"
570,"$38,152.98","$40,369.14"
571,"$39,747.50","$40,171.37"
572,"$40,869.55","$40,108.11"
573,"$42,816.50","$40,204.47"
574,"$44,555.80","$40,632.71"
575,"$43,798.12","$41,382.80"
576,"$46,365.40","$42,033.21"
577,"$45,585.03","$42,996.19"
578,"$45,593.64","$43,778.11"
579,"$44,428.29","$44,435.34"
580,"$47,793.32","$44,752.12"
581,"$47,096.95","$45,441.24"
582,"$47,047.00","$45,933.50"
583,"$46,004.48","$46,320.55"
584,"$44,695.36","$46,437.59"
585,"$44,801.19","$46,251.11"
586,"$46,717.58","$46,019.88"
587,"$49,339.18","$46,062.19"
588,"$48,905.49","$46,576.30"
589,"$49,321.65","$47,079.38"
590,"$49,546.15","$47,632.98"
591,"$47,706.12","$48,138.41"
592,"$48,960.79","$48,280.37"
593,"$46,942.22","$48,514.50"
594,"$49,058.67","$48,365.78"
595,"$48,902.40","$48,490.13"
596,"$48,829.83","$48,574.78"
597,"$47,054.98","$48,633.08"
598,"$47,166.69","$48,391.40"
599,"$48,847.03","$48,154.83"
600,"$49,327.72","$48,192.98"
601,"$50,025.38","$48,357.09"
602,"$49,944.62","$48,675.41"
603,"$51,753.41","$48,974.48"
604,"$52,633.54","$49,545.27"
605,"$46,811.13","$50,211.91"
606,"$46,091.39","$49,888.18"
607,"$46,391.42","$49,305.44"
608,"$44,883.91","$48,703.73"
609,"$45,201.46","$47,882.30"
610,"$46,063.27","$47,170.27"
611,"$44,963.07","$46,712.88"
612,"$47,092.49","$46,223.31"
613,"$48,176.35","$46,183.69"
614,"$47,783.36","$46,429.42"
615,"$47,267.52","$46,703.24"
616,"$48,278.36","$46,940.75"
617,"$47,260.22","$47,284.76"
618,"$42,843.80","$47,417.50"
619,"$40,693.68","$46,790.64"
620,"$43,574.51","$45,720.57"
621,"$44,895.10","$45,074.99"
622,"$42,839.75","$44,768.63"
623,"$42,716.59","$44,287.55"
624,"$43,208.54","$43,880.40"
625,"$42,235.73","$43,638.69"
626,"$41,034.54","$43,334.42"
627,"$41,564.36","$42,892.45"
628,"$43,790.89","$42,579.52"
629,"$48,116.94","$42,696.32"
630,"$47,711.49","$43,573.50"
631,"$48,199.95","$44,456.54"
632,"$49,112.90","$45,384.20"
633,"$51,514.81","$46,365.70"
634,"$55,361.45","$47,585.29"
635,"$53,805.98","$49,278.34"
636,"$53,967.85","$50,583.59"
637,"$54,968.22","$51,665.32"
638,"$54,771.58","$52,630.60"
639,"$57,484.79","$53,321.66"
640,"$56,041.06","$54,245.35"
